Designator,Mid X,Mid Y,Rotation,Layer
C1,95.055,-70.2,270.0,top
C10,170.055,-70.2,270.0,top
C11,175.695,-68.605,180.0,top
C12,166.75,-59.175,90.0,top
C2,100.695,-68.605,180.0,top
C3,92.155,-59.175,90.0,top
C4,120.055,-70.2,270.0,top
C5,125.695,-68.605,180.0,top
C6,117.155,-59.175,90.0,top
C7,145.055,-70.2,270.0,top
C8,150.695,-68.605,180.0,top
C9,142.155,-59.175,90.0,top
D1,111.055,-63.775,90.0,top
D2,107.255,-63.775,90.0,top
D3,136.055,-63.775,90.0,top
D4,132.255,-63.775,90.0,top
D5,161.055,-63.775,90.0,top
D6,157.255,-63.775,90.0,top
D7,186.055,-63.775,90.0,top
D8,182.255,-63.775,90.0,top
J1,138.795,-47.2,0.0,top
J2,138.1,-119.1,0.0,top
R1,107.255,-60.175,270.0,top
R10,117.255,-70.2,270.0,top
R11,157.255,-60.175,270.0,top
R12,142.255,-66.8,270.0,top
R13,145.055,-66.8,270.0,top
R14,145.055,-63.35,270.0,top
R15,142.255,-70.2,270.0,top
R16,182.255,-60.175,270.0,top
R17,167.255,-66.8,270.0,top
R18,170.055,-66.8,270.0,top
R19,170.055,-63.35,270.0,top
R2,92.255,-66.8,270.0,top
R20,167.255,-70.2,270.0,top
R3,95.055,-66.8,270.0,top
R4,95.055,-63.35,270.0,top
R5,92.255,-70.2,270.0,top
R6,132.255,-60.175,270.0,top
R7,117.255,-66.8,270.0,top
R8,120.055,-66.8,270.0,top
R9,120.055,-63.35,270.0,top
TH1,101.65,-98.8,270.0,top
TH2,121.05,-119.1,270.0,top
TH3,155.15,-119.1,270.0,top
TH4,174.55,-98.8,270.0,top
U1,100.695,-63.605,270.0,top
U2,125.695,-63.605,270.0,top
U3,150.695,-63.605,270.0,top
U4,175.695,-63.605,270.0,top
